"Season","Week","Season Type","Neutral Site","Venue","Home Team","Home Conference","Home Division","Home Points","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Team","Away Conference","Away Division","Away Points","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo"
"2023","1","regular","true","Aviva Stadium","Notre Dame","FBS Independents","fbs","42","0.998958343504533","1733","1819","Navy","American Athletic","fbs","3","0.0010416564954669472","1471","1385"
"2023","1","regular","false","JSU Stadium","Jacksonville State","Conference USA","fbs","17","0.40800060036319785","1500","1499","UTEP","Conference USA","fbs","14","0.5919993996368021","1369","1370"
"2023","1","regular","false","Aggie Memorial Stadium","New Mexico State","Conference USA","fbs","30","0.23924886339745693","1322","1274","UMass","FBS Independents","fbs","41","0.760751136602543","1074","1122"
"2023","1","regular","false","Snapdragon Stadium","San Diego State","Mountain West","fbs","20","0.9544687299546838","1488","1497","Ohio","Mid-American","fbs","13","0.04553127004531621","1482","1473"
"2023","1","regular","false","Vanderbilt Stadium","Vanderbilt","SEC","fbs","35","0.18084618805030608","1322","1327","Hawai'i","Mountain West","fbs","28","0.8191538119496939","1246","1241"
"2023","1","regular","false","Los Angeles Memorial Coliseum","USC","Pac-12","fbs","56","0.9982308679413001","1663","1713","San José State","Mountain West","fbs","28","0.0017691320586998849","1462","1412"
"2023","1","regular","false","Joe Aillet Stadium","Louisiana Tech","Conference USA","fbs","22","0.9857287782801066","1251","1249","Florida International","Conference USA","fbs","17","0.014271221719893368","1072","1074"
"2023","1","regular","false","Georgia State Stadium","Georgia State","Sun Belt","fbs","42","0.9688016320131437","1490","1490","Rhode Island","CAA","fcs","35","0.031198367986856268","",""
"2023","1","regular","false","Bright House Networks Stadium","UCF","Big 12","fbs","56","0.9989059988666029","1534","1668","Kent State","Mid-American","fbs","6","0.0010940011333970823","1396","1262"
"2023","1","regular","false","Waldo Stadium","Western Michigan","Mid-American","fbs","35","0.979419588239194","1367","1367","St Francis (PA)","NEC","fcs","17","0.02058041176080605","",""
