"Season","Name","Position","Team","Conference","CountablePlays","AveragePPA Pass","AveragePPA Rush"
"2023","Joseph Bearns III","TE","Charlotte","American Athletic","1","-4.214",""
"2023","Dante Lang","TE","Florida","SEC","1","-3.718",""
"2023","Stephan Bracey","WR","Central Michigan","Mid-American","1","","-2.523"
"2023","Cole Kramer","QB","Minnesota","Big Ten","2","-4.063","-0.157"
"2023","Cam'Ron McCoy","QB","Eastern Michigan","Mid-American","1","","-1.618"
"2023","Che Nwabuko","WR","Pittsburgh","ACC","1","","-1.476"
"2023","Kamryn Perry","WR","Indiana","Big Ten","1","","-1.45"
"2023","Gavin Yates","TE","Baylor","Big 12","2","0.311","-2.891"
"2023","Jarrad Baker","WR","UCF","Big 12","1","-1.274",""
"2023","Mason Pierce","WR","Marshall","Sun Belt","1","-1.227",""
"2023","Jayden Umbarger","WR","Navy","American Athletic","3","-1.221",""
"2023","Luke Lindenmeyer","TE","Nebraska","Big Ten","1","","-1.164"
"2023","Reggie Brown","TE","Tulane","American Athletic","1","-1.087",""
"2023","Kalel Mullings","RB","Michigan","Big Ten","1","","-1.041"
"2023","Terrance Gibbs","RB","Georgia Southern","Sun Belt","4","","-1.036"
"2023","Alex Honig","TE","Connecticut","FBS Independents","1","-0.998",""
"2023","Treylan Davis","TE","West Virginia","Big 12","1","-0.994",""
"2023","James Burns","WR","Connecticut","FBS Independents","2","-1.096","-0.885"
"2023","Jay'juan Townsend","WR","South Alabama","Sun Belt","1","-0.957",""
"2023","Bryce Archie","QB","South Florida","American Athletic","2","-0.931",""
"2023","Jaylen Coleman","RB","Duke","ACC","1","","-0.871"
"2023","RJ Martinez","QB","Baylor","Big 12","5","-0.835",""
"2023","Ethan Vasko","QB","Coastal Carolina","Sun Belt","1","","-0.823"
"2023","Matt Jones","RB","Ole Miss","SEC","1","","-0.814"
"2023","Jeremy Hollingsworth","RB","Wyoming","Mountain West","1","","-0.771"
"2023","Kavosiey Smoke","RB","Colorado","Pac-12","1","","-0.766"
"2023","Malcolm Epps","TE","Pittsburgh","ACC","2","-0.745",""
"2023","Christian Washington","RB","New Mexico","Mountain West","7","-0.021","-0.85"
"2023","Nick Munson","WR","Ball State","Mid-American","1","-0.692",""
"2023","Nathaniel Joseph","WR","Miami","ACC","3","-0.675",""
"2023","KZ Adams","RB","Georgia State","Sun Belt","15","","-0.673"
"2023","Javen Jacobs","RB","Arizona State","Pac-12","1","-0.651",""
"2023","Kahlil Brantley","TE","Florida Atlantic","American Athletic","1","-0.651",""
"2023","Jackson Arnold","QB","Oklahoma","Big 12","3","-0.736","-0.477"
"2023","Holden Geriner","QB","Auburn","SEC","8","-0.65",""
"2023","DJ Riles","QB","Middle Tennessee","Conference USA","2","","-0.64"
"2023","Brandon Campbell","RB","Houston","Big 12","12","-0.141","-0.673"
"2023","Jarod Bowie","WR","Jacksonville State","Conference USA","1","","-0.613"
"2023","Mareyohn Hrabowski","QB","Western Michigan","Mid-American","1","","-0.592"
"2023","Chubba Purdy","QB","Nebraska","Big Ten","2","-0.571",""
"2023","Maximus Webster","TE","Ball State","Mid-American","3","-0.569",""
"2023","Juwuan Price","RB","Syracuse","ACC","7","0.669","-0.773"
"2023","Brock Vandagriff","QB","Georgia","SEC","1","-0.561",""
"2023","Ui Ale","QB","Houston","Big 12","1","-0.558",""
"2023","Justin Holaday","QB","New Mexico","Mountain West","1","","-0.554"
"2023","Jamal Hailey","RB","Western Michigan","Mid-American","4","-0.865","-0.447"
"2023","Mac Markway","TE","LSU","SEC","2","-0.541",""
