"Season","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush"
"2023","Brayden Schager","QB","Hawai'i","Mountain West","0.7159","0.9832","0.1625"
"2023","Shedeur Sanders","QB","Colorado","Pac-12","0.6964","0.98","0.1216"
"2023","Jacob Zeno","QB","UAB","American Athletic","0.6827","0.9919","0.241"
"2023","Nick Vattiato","QB","Middle Tennessee","Conference USA","0.6811","0.9813","0.2763"
"2023","Tyler Shough","QB","Texas Tech","Big 12","0.6545","0.879","0.3804"
"2023","Spencer Rattler","QB","South Carolina","SEC","0.6465","0.9127","0.1857"
"2023","Austin Reed","QB","Western Kentucky","Conference USA","0.6425","0.937","0.1772"
"2023","Cam Fancher","QB","Marshall","Sun Belt","0.6371","0.9677","0.3115"
"2023","Byrum Brown","QB","South Florida","American Athletic","0.6331","0.973","0.363"
"2023","Brennan Armstrong","QB","NC State","ACC","0.6256","0.9907","0.2941"
"2023","Davis Brin","QB","Georgia Southern","Sun Belt","0.6239","0.9481","0.1053"
"2023","Keegan Shoemaker","QB","Sam Houston State","Conference USA","0.6238","1","0.2857"
"2023","Hudson Card","QB","Purdue","Big Ten","0.6111","1","0.2"
"2023","Cameron Ward","QB","Washington State","Pac-12","0.6089","0.896","0.2525"
"2023","Drake Maye","QB","North Carolina","ACC","0.6085","1","0.2095"
"2023","Chevan Cordeiro","QB","San José State","Mountain West","0.6046","0.9032","0.1759"
"2023","Mikey Keene","QB","Fresno State","Mountain West","0.6009","0.9855","0.043"
"2023","Devin Leary","QB","Kentucky","SEC","0.5987","0.9892","0.0328"
"2023","Grant Wilson","QB","Old Dominion","Sun Belt","0.5967","1","0.2198"
"2023","Michael Penix Jr.","QB","Washington","Pac-12","0.5959","0.9402","0.0685"
"2023","Jayden Daniels","QB","LSU","SEC","0.5928","0.9027","0.2685"
"2023","Thomas Castellanos","QB","Boston College","ACC","0.5902","0.8817","0.3514"
"2023","Jalen Mayden","QB","San Diego State","Mountain West","0.5898","0.9835","0.2462"
"2023","E.J. Warner","QB","Temple","American Athletic","0.5756","0.9912","0.0667"
"2023","Austin Smith","QB","Eastern Michigan","Mid-American","0.5733","1","0.1143"
"2023","Tanner Mordecai","QB","Wisconsin","Big Ten","0.5728","0.9903","0.1584"
"2023","AJ Swann","QB","Vanderbilt","SEC","0.5692","0.9645","0.1043"
"2023","Billy Wiles","QB","Southern Mississippi","Sun Belt","0.5632","0.9417","0.1163"
"2023","Gunnar Watson","QB","Troy","Sun Belt","0.5602","0.9375","0.0263"
"2023","Mitch Griffis","QB","Wake Forest","ACC","0.5586","0.981","0.1795"
"2023","Seth Henigan","QB","Memphis","American Athletic","0.5514","0.9714","0.1495"
"2023","Darren Grainger","QB","Georgia State","Sun Belt","0.5482","1","0.2479"
"2023","Rocco Becht","QB","Iowa State","Big 12","0.5455","0.9286","0.1519"
"2023","Grayson McCall","QB","Coastal Carolina","Sun Belt","0.5441","0.9495","0.1619"
"2023","Cade Klubnik","QB","Clemson","ACC","0.5431","0.877","0.1727"
"2023","Kedon Slovis","QB","BYU","Big 12","0.5429","0.9889","0.0723"
"2023","Will Howard","QB","Kansas State","Big 12","0.5374","0.9608","0.156"
"2023","Dequan Finn","QB","Toledo","Mid-American","0.5362","0.8256","0.3333"
"2023","KJ Jefferson","QB","Arkansas","SEC","0.5347","0.9765","0.2155"
"2023","Conner Weigman","QB","Texas A&M","SEC","0.5346","0.814","0.125"
"2023","Luke Altmyer","QB","Illinois","Big Ten","0.5326","0.82","0.2051"
"2023","Rocky Lombardi","QB","Northern Illinois","Mid-American","0.5297","0.9245","0.0968"
"2023","Diego Pavia","QB","New Mexico State","Conference USA","0.5273","0.9022","0.2619"
"2023","Ben Bryant","QB","Northwestern","Big Ten","0.5263","0.8571","0.122"
"2023","Phil Jurkovec","QB","Pittsburgh","ACC","0.526","0.9","0.1961"
"2023","Joe Milton","QB","Tennessee","SEC","0.5258","0.951","0.1351"
"2023","Brady Cook","QB","Missouri","SEC","0.5211","0.9529","0.1731"
"2023","Brett Gabbert","QB","Miami (OH)","Mid-American","0.5197","0.9306","0.1538"
"2023","Bo Nix","QB","Oregon","Pac-12","0.5192","0.8448","0.1087"
"2023","TJ Finley","QB","Texas State","Sun Belt","0.5181","0.9663","0.1359"
"2023","Jordan Travis","QB","Florida State","ACC","0.5181","0.9326","0.1635"
"2023","Carson Beck","QB","Georgia","SEC","0.5167","0.8818","0.1111"
"2023","Noah Kim","QB","Michigan State","Big Ten","0.5137","0.9231","0.1099"
