"Year","Team","Conference","Division","Rating","Ranking"
"2023","Penn State","Big Ten","East","29.5","1"
"2023","Oregon","Pac-12","","28.8","2"
"2023","Washington","Pac-12","","28.4","3"
"2023","Texas","Big 12","","24.7","4"
"2023","Miami","ACC","Coastal","22.4","5"
"2023","Ole Miss","SEC","West","22.0","6"
"2023","Michigan","Big Ten","East","21.7","7"
"2023","Alabama","SEC","West","21.5","8"
"2023","Kansas State","Big 12","","20.9","9"
"2023","Oklahoma","Big 12","","19.5","10"
"2023","Ohio State","Big Ten","East","18.7","11"
"2023","Duke","ACC","Coastal","18.1","12"
"2023","Notre Dame","FBS Independents","","17.6","13"
"2023","Texas A&M","SEC","West","16.3","14"
"2023","Oregon State","Pac-12","","16.0","15"
"2023","TCU","Big 12","","15.8","16"
"2023","Washington State","Pac-12","","14.5","17"
"2023","UCLA","Pac-12","","13.4","18"
"2023","Florida State","ACC","Atlantic","13.2","19"
"2023","USC","Pac-12","","12.9","20"
"2023","Syracuse","ACC","Atlantic","12.6","21"
"2023","UCF","Big 12","","12.4","22"
"2023","Missouri","SEC","East","12.4","22"
"2023","Louisville","ACC","Atlantic","12.2","24"
"2023","North Carolina","ACC","Coastal","12.1","25"
"2023","Maryland","Big Ten","East","11.5","26"
"2023","Colorado","Pac-12","","11.1","27"
"2023","Utah","Pac-12","","11.1","27"
"2023","Rutgers","Big Ten","East","10.7","29"
"2023","Georgia","SEC","East","9.7","30"
"2023","Texas Tech","Big 12","","9.6","31"
"2023","Wisconsin","Big Ten","West","8.9","32"
"2023","LSU","SEC","West","8.3","33"
"2023","Air Force","Mountain West","Mountain","8.2","34"
"2023","Kansas","Big 12","","8.1","35"
"2023","Memphis","American Athletic","","8.1","35"
"2023","California","Pac-12","","7.2","37"
"2023","Tennessee","SEC","East","7.2","37"
"2023","Tulane","American Athletic","","6.6","39"
"2023","Clemson","ACC","Atlantic","6.2","40"
"2023","Idaho","Big Sky","","5.7","41"
"2023","Iowa","Big Ten","West","5.2","42"
"2023","West Virginia","Big 12","","4.9","43"
"2023","Florida","SEC","East","4.9","43"
"2023","Auburn","SEC","West","4.8","45"
"2023","Arkansas","SEC","West","4.8","45"
"2023","Cincinnati","Big 12","","4.8","45"
"2023","Liberty","Conference USA","","4.8","45"
"2023","SMU","American Athletic","","4.4","49"
"2023","Georgia State","Sun Belt","East","3.9","50"
"2023","North Dakota State","MVFC","","3.9","50"
"2023","Marshall","Sun Belt","East","3.6","52"
"2023","Texas State","Sun Belt","West","3.5","53"
"2023","BYU","Big 12","","3.0","54"
"2023","Georgia Tech","ACC","Coastal","3.0","54"
"2023","Wyoming","Mountain West","Mountain","2.7","56"
"2023","Appalachian State","Sun Belt","East","2.5","57"
"2023","Boise State","Mountain West","Mountain","2.5","57"
"2023","South Carolina","SEC","East","1.4","59"
"2023","Coastal Carolina","Sun Belt","East","1.4","59"
"2023","Kentucky","SEC","East","0.6","61"
"2023","Fresno State","Mountain West","West","0.5","62"
