Season,Team,Conference,Games,Offense Plays,Offense Drives,Offense Ppa,Offense RushingPlays Rate,Offense RushingPlays Ppa,Offense PassingPlays Rate,Offense PassingPlays Ppa,Defense RushingPlays Ppa,Defense PassingPlays Ppa
2023,Boston College,ACC,4,245,42,0.226704095,0.530612245,0.267366174,0.465306122,0.187709148,0.119298661,0.631994083
2023,Clemson,ACC,4,260,43,0.24267325,0.469230769,0.216689399,0.530769231,0.265644481,0.043752033,0.007715263
2023,Duke,ACC,4,204,35,0.377522471,0.5,0.415065904,0.5,0.339979039,0.073611067,-0.05805968
2023,Florida State,ACC,4,232,43,0.283486575,0.469827586,0.03935767,0.530172414,0.499828451,0.039066269,0.207319084
2023,Georgia Tech,ACC,4,109,22,0.43017849,0.495412844,0.254235028,0.495412844,0.65945845,0.14315079,0.242273313
2023,Louisville,ACC,4,139,28,0.586546509,0.54676259,0.379508153,0.431654676,1.004026674,-0.087471077,0.326736428
2023,Miami,ACC,4,194,35,0.543874471,0.510309278,0.383387805,0.484536082,0.723980661,-0.088846426,0.141842173
2023,NC State,ACC,4,252,43,0.202080188,0.511904762,0.197668266,0.484126984,0.238244403,0.07616081,0.288583071
2023,North Carolina,ACC,4,280,46,0.295176617,0.496428571,0.181902991,0.503571429,0.406843524,0.20704544,0.045519365
2023,Pittsburgh,ACC,4,219,40,0.059589538,0.484018265,0.188405626,0.502283105,0.024520926,0.001758394,0.142643767
2023,Syracuse,ACC,4,187,37,0.315318368,0.550802139,0.308381627,0.438502674,0.3874817,0.107705267,-0.04696883
2023,Virginia,ACC,4,226,49,0.135848214,0.486725664,-0.073619895,0.486725664,0.486470733,0.341143107,0.380102433
2023,Virginia Tech,ACC,4,267,51,0.072773615,0.453183521,-0.034497202,0.535580524,0.180989191,0.238067851,0.090574007
2023,Wake Forest,ACC,4,303,52,0.082034796,0.541254125,0.00546519,0.452145215,0.237326366,-0.022610059,0.249061071
2023,Charlotte,American Athletic,4,224,44,0.049376794,0.53125,0.177968919,0.450892857,0.015228048,0.05875693,0.383046157
2023,East Carolina,American Athletic,4,211,42,0.070822228,0.497630332,0.13121702,0.473933649,0.062507796,0.054844495,0.371749362
2023,Florida Atlantic,American Athletic,4,218,46,0.067266008,0.362385321,0.073323242,0.614678899,0.132282738,0.105575641,0.298094206
2023,Memphis,American Athletic,4,252,45,0.196001431,0.400793651,0.151817061,0.583333333,0.291750937,0.116541454,-0.000717755
2023,Navy,American Athletic,3,148,28,0.165174744,0.763513514,0.198926867,0.236486486,0.056203602,0.106253553,0.384795244
2023,North Texas,American Athletic,3,188,40,0.2113729,0.510638298,0.228407413,0.468085106,0.232565042,0.41335164,0.522583408
2023,Rice,American Athletic,4,201,38,0.381059748,0.373134328,0.026715562,0.611940299,0.649435284,0.339765558,0.225626017
2023,SMU,American Athletic,4,210,34,0.256765884,0.476190476,0.174268213,0.504761905,0.430404559,-0.014268104,0.312919199
2023,South Florida,American Athletic,4,317,54,0.117182772,0.545741325,0.227429541,0.447949527,0.029395825,0.151487506,0.296206877
2023,Temple,American Athletic,4,230,40,0.189556216,0.395652174,0.035997185,0.595652174,0.307785954,0.193235613,0.327287044
2023,Tulane,American Athletic,4,231,44,0.129828373,0.567099567,-0.062500548,0.424242424,0.440919144,-0.028130138,0.323450938
2023,Tulsa,American Athletic,4,227,41,0.132549059,0.594713656,0.074393285,0.378854626,0.351285213,0.152057308,0.596862991
2023,UAB,American Athletic,4,247,43,0.31244497,0.396761134,0.276867908,0.591093117,0.383573452,0.415456831,0.307948191
2023,UT San Antonio,American Athletic,4,255,45,0.146285033,0.48627451,0.14828872,0.498039216,0.204870943,0.098901283,0.205954449
2023,Baylor,Big 12,4,253,42,0.188242921,0.4743083,0.143875113,0.52173913,0.26876261,0.280505939,0.324134535
2023,BYU,Big 12,4,239,47,0.081062351,0.393305439,-0.059785353,0.59832636,0.237731879,0.100636674,0.260676095
2023,Cincinnati,Big 12,4,274,41,0.232859278,0.540145985,0.177690123,0.445255474,0.353725508,0.068440064,0.358957808
2023,Houston,Big 12,4,278,44,0.080661405,0.413669065,0.05895278,0.575539568,0.1337307,0.213022485,0.374567777
2023,Iowa State,Big 12,4,233,47,0.098434868,0.480686695,-0.161392231,0.510729614,0.358594143,-0.015353032,0.02635719
2023,Kansas,Big 12,4,253,41,0.416191183,0.57312253,0.276379542,0.422924901,0.642961736,0.178905717,0.204572757
2023,Kansas State,Big 12,4,267,42,0.31440396,0.475655431,0.29164349,0.509363296,0.400400058,-0.092221161,0.317187846
2023,Oklahoma,Big 12,4,188,34,0.482100848,0.473404255,0.088245792,0.526595745,0.836172566,-0.069859509,0.112584376
2023,Oklahoma State,Big 12,4,264,50,0.130325419,0.378787879,0.189100602,0.606060606,0.140778408,0.042229531,0.432132487
2023,TCU,Big 12,4,253,42,0.3446341,0.505928854,0.315645438,0.482213439,0.484575913,0.072300322,0.316186261
2023,Texas,Big 12,4,205,39,0.308125099,0.487804878,0.186387961,0.512195122,0.42406523,-0.12248777,0.16224967
2023,Texas Tech,Big 12,4,285,49,0.118565092,0.421052632,0.274982173,0.568421053,0.067398655,0.084367583,0.094633615
2023,UCF,Big 12,4,213,36,0.330572276,0.591549296,0.239834129,0.389671362,0.669345543,0.197492896,0.149257303
2023,West Virginia,Big 12,4,182,36,0.119087934,0.664835165,0.140103116,0.324175824,0.14609513,-0.03597348,-0.026905323
2023,Illinois,Big Ten,4,244,46,0.248438615,0.459016393,0.235646174,0.516393443,0.395924159,0.246758783,0.219896756
2023,Indiana,Big Ten,4,225,41,0.080926877,0.506666667,-0.118898255,0.484444444,0.329307497,0.148162894,0.220902647
2023,Iowa,Big Ten,4,199,44,0.017753591,0.537688442,-0.005394949,0.447236181,0.121101455,-0.006993605,0.133092242
2023,Maryland,Big Ten,4,245,39,0.323547037,0.453061224,0.368226468,0.53877551,0.355450748,0.140466998,0.170855799
2023,Michigan,Big Ten,4,183,30,0.420910356,0.524590164,0.253981144,0.459016393,0.772447454,-0.212936031,0.025590964
2023,Michigan State,Big Ten,4,205,38,0.111340863,0.419512195,0.065637146,0.56097561,0.242770972,0.056560157,0.274128958
2023,Minnesota,Big Ten,4,260,42,0.100100205,0.557692308,0.191372132,0.430769231,0.076957346,0.124087431,0.253709277
2023,Nebraska,Big Ten,4,230,43,0.187034126,0.630434783,0.227279196,0.352173913,0.233681589,-0.061631329,0.205980608
2023,Northwestern,Big Ten,4,221,42,0.179010694,0.429864253,0.098977117,0.56561086,0.244385829,0.125342154,0.456553345
2023,Ohio State,Big Ten,4,215,33,0.398623949,0.437209302,0.207081052,0.558139535,0.576420449,-0.050516936,0.22412522
2023,Penn State,Big Ten,4,203,30,0.247077808,0.527093596,0.206732604,0.472906404,0.292045901,-0.001165538,0.083940711
2023,Purdue,Big Ten,4,285,47,0.156526005,0.470175439,0.115181847,0.522807018,0.241054987,0.12530776,0.335792103
2023,Rutgers,Big Ten,4,219,41,0.195290236,0.634703196,0.21856173,0.365296804,0.154856016,0.089298829,0.184344324
2023,Wisconsin,Big Ten,4,277,51,0.230659185,0.519855596,0.266083787,0.469314079,0.224963233,0.136608944,0.174767755
2023,Florida International,Conference USA,5,242,62,0.160191516,0.5,0.200785415,0.479338843,0.189113699,0.135648949,0.093326848
2023,Jacksonville State,Conference USA,4,259,45,0.108697147,0.656370656,0.151216518,0.343629344,0.027480371,-0.079440424,0.163748696
2023,Liberty,Conference USA,4,251,46,0.313733989,0.613545817,0.230644842,0.378486056,0.597514281,0.327880499,0.111731323
2023,Louisiana Tech,Conference USA,5,285,58,0.176350922,0.477192982,0.099177807,0.515789474,0.286537327,0.281647196,0.074531991
2023,Middle Tennessee,Conference USA,4,243,43,0.167256138,0.419753086,0.068231417,0.572016461,0.28743991,0.088007067,0.420040274
2023,New Mexico State,Conference USA,5,255,50,0.362946667,0.576470588,0.388443399,0.415686275,0.392056124,0.148242546,0.392703179
2023,Sam Houston State,Conference USA,3,130,31,-0.1423187,0.476923077,-0.010693136,0.484615385,-0.173914459,0.13254015,0.151428055
