"Id","Season","Week","Season Type","Neutral Site","Conference Game","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Pregame Elo","Away Id","Away Team","Away Conference","Away Division","Away Pregame Elo"
"401525499","2023","3","regular","false","false","3948","Hard Rock Stadium","2390","Miami","ACC","fbs","1693","2065","Bethune-Cookman","SWAC","fcs",""
"401531428","2023","3","regular","false","true","3805","Liberty Bowl Memorial Stadium","235","Memphis","American Athletic","fbs","1564","2426","Navy","American Athletic","fbs","1320"
"401531396","2023","3","regular","false","false","3604","Alamodome","2636","UT San Antonio","American Athletic","fbs","1514","349","Army","FBS Independents","fbs","1530"
"401520231","2023","3","regular","false","false","3665","Maryland Stadium","120","Maryland","Big Ten","fbs","1522","258","Virginia","ACC","fbs","1424"
"401532581","2023","3","regular","false","true","3713","Falcon Stadium","2005","Air Force","Mountain West","fbs","1650","328","Utah State","Mountain West","fbs","1553"
"401520249","2023","3","regular","false","false","347","Camp Randall Stadium","275","Wisconsin","Big Ten","fbs","1753","290","Georgia Southern","Sun Belt","fbs","1414"
"401525500","2023","3","regular","false","true","3615","Alumni Stadium","103","Boston College","ACC","fbs","1434","52","Florida State","ACC","fbs","1689"
"401525504","2023","3","regular","false","false","3918","Foreman Field","295","Old Dominion","Sun Belt","fbs","1372","154","Wake Forest","ACC","fbs","1654"
"401520222","2023","3","regular","false","false","3965","UB Stadium","2084","Buffalo","Mid-American","fbs","1354","2335","Liberty","Conference USA","fbs","1612"
"401520236","2023","3","regular","false","false","3838","Faurot Field","142","Missouri","SEC","fbs","1405","2306","Kansas State","Big 12","fbs","1672"
"401525838","2023","3","regular","false","false","3876","Peden Stadium","195","Ohio","Mid-American","fbs","1384","66","Iowa State","Big 12","fbs","1757"
"401525834","2023","3","regular","false","false","4727","McLane Stadium","239","Baylor","Big 12","fbs","1634","112358","Long Island University","NEC","fcs",""
"401532404","2023","3","regular","false","false","3696","Dix Stadium","2309","Kent State","Mid-American","fbs","1184","2115","Central Connecticut","NEC","fcs",""
"401532582","2023","3","regular","false","false","3653","Albertsons Stadium","68","Boise State","Mountain West","fbs","1554","155","North Dakota","MVFC","fcs",""
"401520235","2023","3","regular","false","true","3693","Davis Wade Stadium","344","Mississippi State","SEC","fbs","1521","99","LSU","SEC","fbs","1484"
"401520230","2023","3","regular","true","false","3812","Lucas Oil Stadium","84","Indiana","Big Ten","fbs","1307","97","Louisville","ACC","fbs","1567"
"401520226","2023","3","regular","false","true","3832","Memorial Stadium","356","Illinois","Big Ten","fbs","1469","213","Penn State","Big Ten","fbs","1713"
"401531388","2023","3","regular","false","false","3806","Lincoln Financial Field","218","Temple","American Athletic","fbs","1049","2450","Norfolk State","MEAC","fcs",""
"401524012","2023","3","regular","false","false","587","Rice-Eccles Stadium","254","Utah","Pac-12","fbs","1813","2692","Weber State","Big Sky","fcs",""
"401526834","2023","3","regular","false","false","3912","Rynearson Stadium","2199","Eastern Michigan","Mid-American","fbs","1353","113","UMass","FBS Independents","fbs","1054"
"401532402","2023","3","regular","false","false","3919","Scheumann Stadium","2050","Ball State","Mid-American","fbs","1277","282","Indiana State","MVFC","fcs",""
"401525502","2023","3","regular","false","false","3670","Carter-Finley Stadium","152","NC State","ACC","fbs","1592","2678","VMI","Southern","fcs",""
"401525437","2023","3","regular","false","false","3855","Notre Dame Stadium","87","Notre Dame","FBS Independents","fbs","1952","2117","Central Michigan","Mid-American","fbs","1482"
"401520244","2023","3","regular","false","false","3886","Raymond James Stadium","58","South Florida","American Athletic","fbs","1268","333","Alabama","SEC","fbs","2036"
"401524009","2023","3","regular","false","false","3893","Reser Stadium","204","Oregon State","Pac-12","fbs","1599","21","San Diego State","Mountain West","fbs","1475"
"401531412","2023","3","regular","false","false","3792","Kidd Brewer Stadium","2026","Appalachian State","Sun Belt","fbs","1647","151","East Carolina","American Athletic","fbs","1427"
"401520243","2023","3","regular","false","false","6577","SHI Stadium","164","Rutgers","Big Ten","fbs","1453","259","Virginia Tech","ACC","fbs","1442"
"401520227","2023","3","regular","false","false","3793","Kinnick Stadium","2294","Iowa","Big Ten","fbs","1659","2711","Western Michigan","Mid-American","fbs","1411"
"401525842","2023","3","regular","false","false","3674","Skelly Field at H. A. Chapman Stadium","202","Tulsa","American Athletic","fbs","1426","201","Oklahoma","Big 12","fbs","1953"
"401520223","2023","3","regular","false","false","3982","Wallace Wade Stadium","150","Duke","ACC","fbs","1250","77","Northwestern","Big Ten","fbs","1408"
"401520246","2023","3","regular","false","false","3892","Rentschler Field","41","Connecticut","FBS Independents","fbs","1088","2229","Florida International","Conference USA","fbs","1099"
"401520225","2023","3","regular","false","true","3917","Sanford Stadium","61","Georgia","SEC","fbs","2053","2579","South Carolina","SEC","fbs","1459"
"401520239","2023","3","regular","false","false","3787","Kenan Memorial Stadium","153","North Carolina","ACC","fbs","1591","135","Minnesota","Big Ten","fbs","1668"
"401531348","2023","3","regular","false","false","3815","M. M. Roberts Stadium","2572","Southern Mississippi","Sun Belt","fbs","1132","2655","Tulane","American Athletic","fbs","1446"
"401524006","2023","3","regular","false","false","3831","California Memorial Stadium","25","California","Pac-12","fbs","1613","70","Idaho","Big Sky","fcs",""
"401520245","2023","3","regular","false","false","3795","Kyle Field","245","Texas A&M","SEC","fbs","1757","2433","Louisiana Monroe","Sun Belt","fbs","1221"
"401520240","2023","3","regular","false","false","3861","Ohio Stadium","194","Ohio State","Big Ten","fbs","1955","98","Western Kentucky","Conference USA","fbs","1700"
"401524013","2023","3","regular","false","false","3820","Martin Stadium","265","Washington State","Pac-12","fbs","1670","2458","Northern Colorado","Big Sky","fcs",""
"401524011","2023","3","regular","false","false","1056","Rose Bowl","26","UCLA","Pac-12","fbs","1753","2428","North Carolina Central","MEAC","fcs",""
"401520233","2023","3","regular","false","false","3936","Spartan Stadium","127","Michigan State","Big Ten","fbs","1617","264","Washington","Pac-12","fbs","1723"
"401531403","2023","3","regular","false","false","4418","Jerry Richardson Stadium","2429","Charlotte","American Athletic","fbs","1246","2247","Georgia State","Sun Belt","fbs","1548"
"401525843","2023","3","regular","false","false","3652","Bright House Networks Stadium","2116","UCF","Big 12","fbs","1696","222","Villanova","CAA","fcs",""
"401520221","2023","3","regular","false","false","3785","Jordan-Hare Stadium","2","Auburn","SEC","fbs","1723","2535","Samford","Southern","fcs",""
"401520224","2023","3","regular","false","true","3634","Ben Hill Griffin Stadium","57","Florida","SEC","fbs","1558","2633","Tennessee","SEC","fbs","1735"
"401520247","2023","3","regular","false","false","6501","Allegiant Stadium","2439","UNLV","Mountain West","fbs","1264","238","Vanderbilt","SEC","fbs","1224"
"401525835","2023","3","regular","false","false","3854","Nippert Stadium","2132","Cincinnati","Big 12","fbs","1809","193","Miami (OH)","Mid-American","fbs","1443"
"401520237","2023","3","regular","false","false","3834","Memorial Stadium","158","Nebraska","Big Ten","fbs","1571","2459","Northern Illinois","Mid-American","fbs","1385"
"401532403","2023","3","regular","false","false","3739","Glass Bowl","2649","Toledo","Mid-American","fbs","1531","23","San José State","Mountain West","fbs","1223"
"401520234","2023","3","regular","false","false","3725","Johnny Red"""" Floyd Stadium""""","2393","Middle Tennessee","Conference USA","fbs","1344","93","Murray State","MVFC","fcs",""
"401525841","2023","3","regular","false","false","3784","Jones AT&T Stadium","2641","Texas Tech","Big 12","fbs","1516","2627","Tarleton State","UAC","fcs",""
"401531848","2023","3","regular","false","true","3975","Veterans Memorial Stadium","2653","Troy","Sun Belt","fbs","1291","256","James Madison","Sun Belt","fbs","1307"
"401525839","2023","3","regular","false","false","3646","Boone Pickens Stadium","197","Oklahoma State","Big 12","fbs","1797","6","South Alabama","Sun Belt","fbs","1313"
"401531379","2023","3","regular","false","false","7221","Protective Stadium","5","UAB","American Athletic","fbs","1514","309","Louisiana","Sun Belt","fbs","1699"
"401531438","2023","3","regular","false","false","3735","Gerald J. Ford Stadium","2567","SMU","American Athletic","fbs","1595","2504","Prairie View","SWAC","fcs",""
"401531441","2023","3","regular","false","false","3895","Rice Stadium","242","Rice","American Athletic","fbs","1216","2640","Texas Southern","SWAC","fcs",""
"401531846","2023","3","regular","false","false","3625","Centennial Bank Stadium","2032","Arkansas State","Sun Belt","fbs","1004","2619","Stony Brook","CAA","fcs",""
"401531845","2023","3","regular","false","false","3654","Brooks Stadium","324","Coastal Carolina","Sun Belt","fbs","1623","2184","Duquesne","NEC","fcs",""
"401520229","2023","3","regular","false","false","3776","Joe Aillet Stadium","2348","Louisiana Tech","Conference USA","fbs","1257","249","North Texas","American Athletic","fbs","1302"
"401525503","2023","3","regular","false","false","3842","Mountaineer Field at Milan Puskar Stadium","277","West Virginia","Big 12","fbs","1447","221","Pittsburgh","ACC","fbs","1659"
"401520241","2023","3","regular","false","false","3974","Vaught-Hemingway Stadium","145","Ole Miss","SEC","fbs","1694","59","Georgia Tech","ACC","fbs","1347"
"401520242","2023","3","regular","false","false","3907","Ross-Ade Stadium","2509","Purdue","Big Ten","fbs","1634","183","Syracuse","ACC","fbs","1532"
"401520220","2023","3","regular","false","false","3887","Donald W. Reynolds Razorback Stadium Frank Broyles Field","8","Arkansas","SEC","fbs","1654","252","BYU","Big 12","fbs","1648"
"401520232","2023","3","regular","false","false","3558","Michigan Stadium","130","Michigan","Big Ten","fbs","1931","189","Bowling Green","Mid-American","fbs","1210"
"401520228","2023","3","regular","false","false","3683","Commonwealth Stadium","96","Kentucky","SEC","fbs","1730","2006","Akron","Mid-American","fbs","1094"
"401524008","2023","3","regular","false","false","3626","Autzen Stadium","2483","Oregon","Pac-12","fbs","1591","62","Hawai'i","Mountain West","fbs","1380"
"401524010","2023","3","regular","false","false","3940","Stanford Stadium","24","Stanford","Pac-12","fbs","1284","16","Sacramento State","Big Sky","fcs",""
"401525840","2023","3","regular","false","false","3910","Darrell K Royal-Texas Memorial Stadium","251","Texas","Big 12","fbs","1720","2751","Wyoming","Mountain West","fbs","1500"
"401525836","2023","3","regular","false","true","4728","John O'Quinn Field at TDECU Stadium","248","Houston","Big 12","fbs","1604","2628","TCU","Big 12","fbs","1428"
"401525501","2023","3","regular","false","false","3836","Memorial Stadium","228","Clemson","ACC","fbs","1684","2226","Florida Atlantic","American Athletic","fbs","1409"
"401520238","2023","3","regular","false","false","3971","University Stadium","167","New Mexico","Mountain West","fbs","1146","166","New Mexico State","Conference USA","fbs","1138"
"401531847","2023","3","regular","false","false","3644","Jim Wacker Field at Bobcat Stadium","326","Texas State","Sun Belt","fbs","1316","2296","Jackson State","SWAC","fcs",""
"401524007","2023","3","regular","false","false","3726","Folsom Field","38","Colorado","Pac-12","fbs","1458","36","Colorado State","Mountain West","fbs","1336"
"401524005","2023","3","regular","false","false","3947","Sun Devil Stadium","9","Arizona State","Pac-12","fbs","1592","278","Fresno State","Mountain West","fbs","1600"
"401525837","2023","3","regular","false","false","3816","Mackay Stadium","2440","Nevada","Mountain West","fbs","1405","2305","Kansas","Big 12","fbs","1224"
"401520219","2023","3","regular","false","false","3619","Arizona Stadium","12","Arizona","Pac-12","fbs","1305","2638","UTEP","Conference USA","fbs","1279"
