"Season","Week","Season Type","Neutral Site","Venue","Home Team","Home Conference","Home Division","Home Pregame Elo","Away Team","Away Conference","Away Division","Away Pregame Elo"
"2023","5","regular","false","Skelly Field at H. A. Chapman Stadium","Tulsa","American Athletic","fbs","1294","Temple","American Athletic","fbs","1139"
"2023","5","regular","false","Houchens Industries-L. T. Smith Stadium","Western Kentucky","Conference USA","fbs","1506","Middle Tennessee","Conference USA","fbs","1320"
"2023","5","regular","false","Bowers Stadium","Sam Houston State","Conference USA","fbs","1396","Jacksonville State","Conference USA","fbs","1505"
"2023","5","regular","false","Carter-Finley Stadium","NC State","ACC","fbs","1520","Louisville","ACC","fbs","1682"
"2023","5","regular","false","Sun Bowl Stadium","UTEP","Conference USA","fbs","1210","Louisiana Tech","Conference USA","fbs","1211"
"2023","5","regular","false","Reser Stadium","Oregon State","Pac-12","fbs","1738","Utah","Pac-12","fbs","1784"
"2023","5","regular","false","LaVell Edwards Stadium","BYU","Big 12","fbs","1536","Cincinnati","Big 12","fbs","1593"
"2023","5","regular","false","Rentschler Field","Connecticut","FBS Independents","fbs","1168","Utah State","Mountain West","fbs","1385"
"2023","5","regular","false","Ryan Field","Northwestern","Big Ten","fbs","1357","Penn State","Big Ten","fbs","1931"
"2023","5","regular","false","Commonwealth Stadium","Kentucky","SEC","fbs","1675","Florida","SEC","fbs","1601"
"2023","5","regular","false","Summa Field at InfoCision Stadium","Akron","Mid-American","fbs","1226","Buffalo","Mid-American","fbs","1331"
"2023","5","regular","false","Carrier Dome","Syracuse","ACC","fbs","1625","Clemson","ACC","fbs","1716"
"2023","5","regular","false","TCF Bank Stadium","Minnesota","Big Ten","fbs","1635","Louisiana","Sun Belt","fbs","1558"
"2023","5","regular","false","Bridgeforth Stadium","James Madison","Sun Belt","fbs","1590","South Alabama","Sun Belt","fbs","1519"
"2023","5","regular","false","Folsom Field","Colorado","Pac-12","fbs","1252","USC","Pac-12","fbs","1879"
"2023","5","regular","true","AT&T Stadium","Arkansas","SEC","fbs","1621","Texas A&M","SEC","fbs","1722"
"2023","5","regular","false","Benson Field at Yulman Stadium","Tulane","American Athletic","fbs","1630","UAB","American Athletic","fbs","1420"
"2023","5","regular","false","Kelly/Shorts Stadium","Central Michigan","Mid-American","fbs","1343","Eastern Michigan","Mid-American","fbs","1364"
"2023","5","regular","false","Alumni Stadium","Boston College","ACC","fbs","1297","Virginia","ACC","fbs","1314"
"2023","5","regular","false","Dix Stadium","Kent State","Mid-American","fbs","1181","Miami (OH)","Mid-American","fbs","1361"
"2023","5","regular","false","California Memorial Stadium","California","Pac-12","fbs","1519","Arizona State","Pac-12","fbs","1404"
"2023","5","regular","false","Bright House Networks Stadium","UCF","Big 12","fbs","1649","Baylor","Big 12","fbs","1506"
"2023","5","regular","false","Jordan-Hare Stadium","Auburn","SEC","fbs","1607","Georgia","SEC","fbs","2055"
"2023","5","regular","false","Waldo Stadium","Western Michigan","Mid-American","fbs","1211","Ball State","Mid-American","fbs","1185"
"2023","5","regular","false","Glass Bowl","Toledo","Mid-American","fbs","1512","Northern Illinois","Mid-American","fbs","1249"
"2023","5","regular","false","Bobby Dodd Stadium at Historic Grant Field","Georgia Tech","ACC","fbs","1391","Bowling Green","Mid-American","fbs","1195"
"2023","5","regular","false","Darrell K Royal-Texas Memorial Stadium","Texas","Big 12","fbs","1888","Kansas","Big 12","fbs","1480"
"2023","5","regular","false","Memorial Stadium","Nebraska","Big Ten","fbs","1483","Michigan","Big Ten","fbs","1953"
"2023","5","regular","false","Maryland Stadium","Maryland","Big Ten","fbs","1687","Indiana","Big Ten","fbs","1397"
"2023","5","regular","false","Ross-Ade Stadium","Purdue","Big Ten","fbs","1432","Illinois","Big Ten","fbs","1601"
"2023","5","regular","false","Navy-Marine Corps Memorial Stadium","Navy","American Athletic","fbs","1388","South Florida","American Athletic","fbs","1298"
"2023","5","regular","false","Joan C. Edwards Stadium","Marshall","Sun Belt","fbs","1578","Old Dominion","Sun Belt","fbs","1366"
"2023","5","regular","false","Warren McGuirk Alumni Stadium","UMass","FBS Independents","fbs","1047","Arkansas State","Sun Belt","fbs","1055"
"2023","5","regular","false","Jones AT&T Stadium","Texas Tech","Big 12","fbs","1559","Houston","Big 12","fbs","1597"
"2023","5","regular","false","SHI Stadium","Rutgers","Big Ten","fbs","1414","Wagner","NEC","fcs",""
"2023","5","regular","false","Allegiant Stadium","UNLV","Mountain West","fbs","1372","Hawai'i","Mountain West","fbs","1148"
"2023","5","regular","false","War Memorial Stadium","Wyoming","Mountain West","fbs","1405","New Mexico","Mountain West","fbs","1109"
"2023","5","regular","false","Liberty Bowl Memorial Stadium","Memphis","American Athletic","fbs","1558","Boise State","Mountain West","fbs","1542"
"2023","5","regular","false","Vanderbilt Stadium","Vanderbilt","SEC","fbs","1310","Missouri","SEC","fbs","1508"
